Posição angular ( rad )	Intensidade rel. ( % )
0	1
0	17155
0	17167
0	17170
0	17226
0	17180
0	17210
0	17211
0	17179
0	17182
0	17219
0	17171
0	17199
0	17213
0	17194
0	17170
0	17186
0	17148
0	17185
0	17174
0	17187
0	17131
0	17148
0	17143
0	17145
0	17106
0	17140
2	17144
2	17187
5	17161
31	17159
415	17123
1150	17174
1839	17197
2290	17185
2612	17226
2923	17257
3332	17268
3806	17304
4408	17323
5148	17351
5790	17380
6362	17415
6896	17421
7430	17418
7912	17415
8375	17403
8705	17361
8988	17405
9287	17396
9580	17410
9891	17459
10227	17501
10557	17452
10945	17520
11358	17538
11706	17577
12125	17651
12712	17776
13243	18026
13719	18450
14283	18911
14910	18859
15519	18247
16401	17749
17690	17638
18755	17575
19445	17544
19809	17498
20120	17494
20953	17529
22035	17522
23223	17533
24014	17497
24388	17511
24699	17482
24889	17480
25040	17510
25244	17471
25433	17497
25775	17482
26267	17491
26675	17454
26958	17397
27183	17421
27426	17452
27789	17402
28273	17374
28860	17364
29484	17337
30195	17300
30890	17297
31350	17337
31537	17296
31672	17267
31823	17317
32109	17265
32418	17246
32743	17238
33149	17232
33598	17227
34088	17210
34495	17234
34803	17220
35319	17176
36056	17194
36678	17130
37223	17113
37699	17113
38208	17084
38704	17057
39179	17045
39656	17070
40098	17074
40553	17054
40981	17053
41485	17037
42096	17043
42773	17012
43483	17050
44179	17022
44796	17019
45424	16985
45980	16988
46623	16942
47438	16909
48278	16900
49059	16862
49857	16924
50515	16867
51236	16886
51951	16881
52743	16853
53550	16830
54408	16828
55449	16818
56472	16816
57336	16807
58145	16809
58812	16772
59527	16760
60287	16703
61036	16724
61816	16748
62639	16674
63523	16647
64448	16615
65667	16588
66834	16599
67737	16599
68458	16570
69238	16612
70081	16527
70870	16547
71523	16608
72236	16777
72957	17304
73499	16846
73922	16628
74354	16563
74995	16557
75653	16555
76097	16588
76545	16505
76950	16542
77282	16544
77640	16484
78058	16455
78552	16464
79072	16451
79485	16451
79884	16460
80199	16448
80547	16490
81050	16529
81479	16546
81790	16564
81977	16534
82256	16573
82632	16529
82853	16573
83070	16565
83527	16564
84306	16561
85008	16598
85519	16592
86108	16568
86603	16624
86945	16616
87248	16622
87580	16617
87971	16617
88546	16594
88967	16627
89217	16621
89639	16631
90316	16689
91175	16693
91780	16627
92179	16651
92437	16693
92650	16687
92985	16696
93436	16669
93861	16642
94411	16640
94912	16655
95170	16693
95176	16686
95175	16698
95170	16721
95168	16695
95167	16717
95167	16724
95167	16719
95167	16734
95165	16717
95165	16649
95165	16652
95164	16657
95164	16616
95164	16570
95164	16591
95164	16617
95162	16597
95162	16651
95162	16550
95162	16554
95162	16526
95162	16571
95160	16547
95160	16587
95160	16612
95160	16588
95160	16590
95160	16644
95160	16594
95160	16519
95160	16557
95160	16550
95159	16576
95159	16550
95159	16547
95159	16486
95159	16574
95159	16577
95157	16528
95157	16540
95159	16468
95157	16457
95157	16477
95157	16430
95157	16489
95157	16418
95157	16476
95157	16460
95157	16443
95157	16467
95157	16436
95157	16429
95157	16418
95157	16405
95157	16412
95157	16389
95157	16386
95157	16393
95157	16380
95157	16424
95157	16431
95157	16381
95157	16343
95157	16372
95157	16356
95157	16364
95156	16326
95156	16335
95156	16352
95156	16366
95156	16379
95156	16393
95156	16366
95156	16328
95156	16349
95156	16373
95156	16347
95156	16363
95156	16355
95156	16370
95156	16376
95156	16362
95156	16395
95156	16363
95156	16326
95156	16368
95156	16341
95156	16352
95156	16360
95156	16350
95156	16343
95156	16316
95154	16268
95154	16285
95154	16254
95154	16290
95154	16291
95154	16269
95154	16255
95154	16224
95154	16245
95154	16215
95154	16255
95154	16301
95154	16323
95154	16271
95154	16289
95154	16254
95154	16270
95154	16262
95154	16242
95154	16233
95154	16238
95154	16241
95154	16217
95154	16189
95154	16188
95154	16238
95154	16276
95154	16263
95154	16269
95154	16255
95154	16267
95154	16232
95153	16248
95153	16303
95153	16334
95153	16335
95153	16288
95153	16319
95153	16260
95153	16276
95153	16290
95153	16287
95153	16279
95153	16321
95153	16282
95153	16257
95153	16274
95153	16319
95153	16288
95153	16306
95153	16287
95153	16217
95153	16273
95153	16159
95153	16208
95153	16211
95153	16213
95153	16188
95153	16199
95153	16163
95153	16202
95153	16171
95153	16132
95153	16090
95153	16093
95153	16112
95153	16102
95153	16082
95153	16113
95153	16060
95153	16067
95153	16090
95153	16052
95153	15999
95153	15967
95153	15976
95153	15997
95153	16003
95153	15988
95153	16008
95153	16044
95153	16004
95153	15993
95151	15966
95151	15976
95151	15987
95151	16016
95151	15994
95151	15947
95151	15955
95151	15977
95151	15956
95151	15977
95151	16008
95151	16026
95151	16038
95151	16001
95151	15983
95151	16000
95151	15995
95151	16006
95151	15968
95151	16044
95151	16023
95151	16028
95151	16007
95151	15990
95151	16030
95151	16020
95151	15992
95151	15978
95151	15996
95151	16016
95151	16027
95151	16036
95151	16021
95151	16004
95151	15980
95151	15992
95151	15999
95151	16052
95151	16010
95151	15983
95151	15949
95151	15898
95151	15972
95151	15962
95151	15990
95151	16013
95151	15963
95151	15985
95151	16000
95151	15958
95151	16021
95151	15991
95151	15996
95151	15961
95151	15969
95151	15956
95149	15967
95149	15970
95149	16001
95149	15996
95149	15963
95149	15921
95149	15901
95149	15941
95149	15925
95149	15949
95149	15919
95149	15904
95149	15874
95149	15897
95149	15879
95149	15934
95149	15907
95149	15908
95149	15934
95149	15911
95149	15947
95149	15916
95149	15950
95149	15968
95149	15914
95149	15937
95149	15929
95149	15940
95149	15955
95149	15953
95149	15966
95149	15947
95149	15976
95149	15967
95149	15950
95149	15971
95149	15955
95149	15994
95149	15959
95149	15999
95149	15970
95149	15987
95149	15997
95149	15978
95149	16021
95149	16027
95149	16001
95149	16022
95149	16000
95149	16012
95149	16039
95149	15956
95149	16023
95149	16009
95149	15985
95149	16014
95149	16007
95149	16022
95149	16054
95149	16026
95149	16029
95149	16003
95149	16005
95149	16031
95149	16021
95149	16007
95149	16075
95149	16066
95149	16009
95149	16021
95149	16028
95149	16006
95149	16042
95149	16028
95149	16022
95149	16009
95149	16076
95149	16038
95149	16058
95149	16001
95149	15995
95149	15994
95149	15974
95149	15924
95149	15901
95149	15971
95148	15937
95148	15883
95148	15890
95148	15907
95148	15915
95148	15856
95148	15895
95148	15901
95148	15872
95148	15816
95148	15879
95148	15819
95148	15812
95148	15805
95148	15787
95148	15784
95148	15744
95148	15796
95148	15764
95148	15791
95148	15753
95148	15726
95148	15762
95148	15748
95148	15756
95148	15741
95148	15714
95148	15761
95148	15755
95148	15793
95148	15785
95148	15787
95148	15789
95148	15805
95148	15840
95148	15849
95148	15795
95148	15826
95148	15807
95148	15884
95148	15838
95148	15789
95148	15739
95148	15719
95148	15731
95148	15757
95148	15715
95148	15782
95148	15762
95148	15775
95148	15757
95148	15772
95148	15751
95148	15767
95148	15739
95148	15754
95148	15759
95148	15719
95148	15708
95148	15730
95148	15658
95148	15697
95148	15688
95148	15653
95148	15664
95148	15687
95148	15672
95148	15626
95148	15694
95148	15722
95148	15663
95148	15705
95148	15659
95148	15665
95148	15687
95148	15704
95148	15744
95148	15727
95148	15759
95148	15741
95148	15683
95148	15722
95148	15778
95148	15755
95148	15797
95148	15760
95148	15763
95148	15781
95148	15754
95148	15778
95148	15770
95148	15765
95148	15779
95148	15718
95148	15695
95148	15726
95148	15707
95148	15713
95148	15718
95148	15725
95148	15742
95148	15735
95148	15763
95148	15788
95148	15790
95148	15760
95148	15814
95148	15819
95148	15851
95148	15812
95148	15820
95148	15795
95148	15827
95148	15810
95148	15771
95148	15748
95148	15746
95148	15733
95148	15724
95148	15755
95148	15773
95148	15771
95148	15799
95148	15802
95148	15790
95148	15772
95148	15811
95148	15782
95148	15764
95148	15755
95148	15743
95148	15726
95148	15759
95146	15761
95146	15784
95146	15780
95146	15830
95146	15804
95146	15784
95146	15747
95146	15733
95146	15641
95146	15650
95146	15564
95146	15515
95146	15512
95146	15468
95146	15483
95146	15363
95146	15391
95146	15354
95146	15352
95146	15309
95146	15260
95146	15269
95146	15251
95146	15213
95146	15278
95146	15230
95146	15212
95146	15170
95146	15189
95146	15173
95146	15242
95146	15208
95146	15262
95146	15277
95146	15271
95146	15314
95146	15288
95146	15313
95146	15252
95146	15302
95146	15269
95146	15285
95146	15301
95146	15325
95146	15364
95146	15359
95146	15362
95146	15369
95146	15318
95146	15291
95146	15301
95146	15302
95146	15322
95146	15288
95146	15305
95146	15321
95146	15306
95146	15316
95146	15301
95146	15300
95146	15369
95146	15301
95146	15287
95146	15348
95146	15305
95146	15323
95146	15305
95146	15338
95146	15310
95146	15318
95146	15321
95146	15371
95146	15328
95146	15360
95146	15378
95146	15386
95146	15379
95146	15356
95146	15330
95146	15308
95146	15356
95146	15351
95146	15344
95146	15370
95146	15347
95146	15371
95146	15391
95146	15405
95146	15454
95146	15462
95146	15435
95146	15410
95146	15419
95146	15415
95146	15414
95146	15426
95146	15421
95146	15414
95146	15432
95146	15429
95146	15500
95146	15481
95146	15480
95146	15455
95146	15495
95146	15424
95146	15442
95146	15447
95146	15461
95146	15479
95146	15440
95146	15488
95146	15464
95146	15475
95146	15382
95146	15368
95146	15382
95146	15372
95146	15380
95146	15359
95146	15403
95146	15351
95146	15373
95146	15356
95146	15356
95146	15408
95146	15350
95146	15338
95146	15327
95146	15309
95146	15320
95146	15305
95146	15281
95146	15308
95146	15302
95146	15228
95146	15298
95146	15291
95146	15315
95146	15243
95146	15291
95146	15300
95146	15300
95146	15282
95146	15319
95146	15272
95146	15307
95146	15282
95146	15282
95146	15329
95146	15295
95146	15301
95146	15352
95146	15264
95146	15250
95146	15282
95146	15298
95146	15267
95146	15349
95146	15328
95146	15340
95146	15308
95146	15303
95146	15270
95146	15291
95146	15345
95146	15343
95146	15282
95146	15313
95146	15303
95146	15280
95146	15294
95146	15347
95146	15308
95146	15329
95146	15331
95146	15272
95146	15364
95146	15326
95146	15332
95146	15333
95146	15294
95146	15302
95146	15329
95146	15300
95146	15324
95146	15308
95146	15310
95146	15321
95146	15333
95146	15323
95146	15286
95146	15256
95146	15257
95146	15261
95146	15312
95146	15277
95146	15291
95146	15267
95146	15260
95146	15224
95146	15242
95146	15219
95146	15240
95146	15456
95146	15433
95146	15430
95146	15447
95146	15441
95146	15433
95146	15428
95146	15486
95146	15522
95146	15494
95146	15463
95146	15477
95146	15466
95146	15422
95146	15427
95146	15449
95146	15394
95146	15380
95146	15399
95146	15373
95146	15356
95146	15104
95146	15149
95146	15141
95146	15093
95146	15112
95146	15063
95146	15090
95146	15130
95146	15102
95146	15069
95146	15071
95146	15120
95146	15122
95146	15070
95146	15095
95146	15105
95146	15092
95146	15086
95146	15076
95146	15096
95146	15158
95146	15062
95146	15045
95146	15057
95146	15058
95146	15025
95146	15053
95146	15004
95146	15003
95146	15005
95146	15044
95146	15032
95146	15100
95145	15040
95145	15063
95145	15078
95145	15134
95145	15037
95145	15102
95145	15071
95145	15111
95145	15063
95145	15122
95145	15110
95145	15064
95145	15045
95145	15046
95145	15073
95145	15127
95145	15113
95145	15066
95145	15126
95145	15113
95145	15095
95145	15111
95145	15066
95145	15084
95145	15083
95145	15075
95145	15084
95145	15056
95145	15018
95145	15067
95145	15046
95145	15020
95145	15054
95145	15079
95145	15049
95145	15040
95145	15051
95145	15059
95145	14981
95145	15016
95145	15015
95145	15081
95145	15063
95145	15006
95145	14998
95145	15008
95145	14952
95145	14955
95145	14951
95145	14950
95145	14938
95145	15006
95145	14996
95145	15001
95145	14971
95145	14986
95145	14971
95145	14980
95145	14982
95145	14945
95145	14993
95145	15020
95145	15061
95145	15018
95145	14961
95145	14958
95145	15014
95145	15023
95145	14995
95145	14960
95145	14933
95145	14952
95145	14961
95145	14942
95145	14966
95145	14951
95145	14943
95145	14897
95145	14901
95145	14830
95145	14838
95145	14822
95145	14844
95145	14798
95145	14803
95145	14799
95145	14818
95145	14808
95145	14813
95145	14789
95145	14777
95145	14712
95145	14712
95145	14717
95145	14686
95145	14734
95145	14727
95145	14702
95145	14671
95145	14712
95145	14657
95145	14667
95145	14678
95145	14649
95145	14684
95145	14684
95145	14672
95145	14683
95145	14681
95145	14718
95145	14677
95145	14695
95145	14681
95145	14673
95145	14695
95145	14758
95145	14697
95145	14714
95145	14670
95145	14716
95145	14721
95145	14692
95145	14697
95145	14682
95145	14688
95145	14656
95145	14665
95145	14683
95145	14627
95145	14675
95145	14618
95145	14646
95145	14629
95145	14638
95145	14668
95145	14621
95145	14603
95145	14614
95145	14611
95145	14622
95145	14625
95145	14592
95145	14555
95145	14599
95145	14585
95145	14548
95145	14577
95145	14515
95145	14523
95145	14537
95145	14501
95145	14540
95145	14547
95145	14492
95145	14486
95145	14505
95145	14482
95145	14500
95145	14483
95145	14511
95145	14504
95145	14460
95145	14464
95145	14457
95145	14430
95145	14479
95145	14443
95145	14450
95145	14436
95145	14435
95145	14480
95145	14453
95145	14421
95145	14443
95145	14424
95145	14418
95145	14428
95145	14406
95145	14407
95145	14394
95145	14396
95145	14392
95145	14370
95145	14351
95145	14389
95145	14378
95145	14411
95145	14400
95145	14390
95145	14439
95145	14465
95145	14447
95145	14459
95145	14412
95145	14426
95145	14443
95145	14407
95145	14460
95145	14467
95145	14494
95145	14447
95145	14478
95145	14430
95145	14465
95145	14493
95145	14476
95145	14472
95145	14516
95145	14511
95145	14547
95145	14526
95145	14532
95145	14494
95145	14520
95145	14495
95140	14463
94095	14489
92578	14468
90714	14497
89444	14497
88397	14517
87478	14515
85982	14507
84141	14507
81776	14429
78942	14339
76184	14477
73686	14317
71014	14285
67983	14222
64847	14244
61545	14209
58577	14249
55583	14183
52554	14192
49774	14169
47212	14120
44845	14112
42437	14087
39950	14079
37484	14079
35176	14133
33423	14162
31576	14177
29295	14154
27088	14189
24729	14184
22139	14235
19586	14641
17477	15440
15673	14865
14186	14390
12548	14177
10592	14111
8493	14103
6396	14080
4390	14058
2681	14099
