Posição_Angular(graus)	Intensidade_rel_(%)
0,000	15,127
0,000	15,081
0,000	15,077
0,000	15,128
0,000	15,144
0,000	15,118
0,000	15,134
0,000	15,149
0,000	15,164
0,000	15,112
0,000	15,111
0,000	15,166
0,000	15,175
0,000	15,160
0,013	15,183
0,055	15,172
0,215	15,150
0,463	15,141
0,818	15,136
1,258	15,123
1,755	15,117
2,308	15,121
2,845	15,127
3,534	15,152
4,114	15,143
4,854	15,118
5,611	15,155
6,333	15,322
6,999	15,312
7,604	15,350
8,228	15,341
8,795	15,345
9,244	15,339
9,741	15,395
10,237	15,371
10,656	15,375
11,091	15,411
11,523	15,453
12,024	15,419
12,497	15,492
12,909	15,571
13,364	15,702
13,799	15,962
14,161	16,280
14,550	16,735
15,001	17,263
15,521	17,621
16,148	17,381
16,712	16,594
17,238	16,030
17,874	15,677
18,474	15,460
18,994	15,403
19,494	15,391
19,922	15,351
20,298	15,397
20,844	15,442
21,349	15,452
21,886	15,476
22,445	15,435
22,929	15,474
23,317	15,452
23,760	15,566
24,186	15,503
24,644	15,473
25,045	15,422
25,439	15,472
25,791	15,455
26,100	15,430
26,463	15,426
26,861	15,436
27,205	15,439
27,600	15,423
27,981	15,427
28,408	15,423
28,860	15,373
29,320	15,377
29,762	15,379
30,276	15,373
30,692	15,390
30,992	15,377
31,452	15,377
31,626	15,358
32,096	15,376
32,519	15,404
32,833	15,382
33,083	15,442
33,455	15,399
33,923	15,334
34,279	15,345
34,598	15,355
34,991	15,355
35,398	15,347
35,847	15,343
36,326	15,420
36,714	15,376
37,110	15,384
37,421	15,366
37,811	15,373
38,258	15,424
38,654	15,411
39,025	15,373
39,466	15,396
39,986	15,434
40,437	15,437
40,880	15,432
41,309	15,444
41,758	15,408
42,256	15,377
42,825	15,388
43,385	15,390
43,861	15,403
44,340	15,375
44,810	15,360
45,212	15,339
45,570	15,355
45,991	15,363
46,420	15,367
46,807	15,329
47,224	15,380
47,652	15,358
48,048	15,399
48,448	15,359
48,855	15,372
49,295	15,346
