Posição angular ( graus )	Intensidade rel. ( % )
0	13954
0	13974
0	13997
0	13917
0	13926
0	13969
0	13930
0	13910
0	13896
0	13873
2	13872
2	13850
2	13858
2	13817
2	13825
2	13840
2	13837
2	13789
2	13754
2	13775
2	13811
2	13714
2	13769
2	13716
13	13757
17	14044
20	14049
36	14056
226	14046
680	14000
1211	14054
1634	14026
1974	13996
2168	13944
2465	14030
2683	13983
2944	14000
3252	13982
3550	13966
3974	13942
4478	13921
5017	13903
5482	13907
6005	13912
6520	13856
7061	13869
7527	13891
7991	13862
8432	13833
8880	13881
9393	13873
10008	13852
10529	13907
10944	13847
11354	13873
11734	13879
12219	13901
12692	13857
13218	13902
13686	14011
14081	14194
14395	14505
14689	14812
14974	15092
15317	15353
15703	15469
16063	15291
16464	14911
16991	14469
17665	14139
18251	13848
18755	13743
19208	13724
19676	13695
20153	13702
20664	13695
21157	13719
21745	13753
22343	13730
22814	13721
23234	13739
23719	13730
24230	13768
24649	13739
25013	13669
25381	13654
25764	13695
26198	13634
26631	13675
27109	13650
27621	13637
28106	13603
28972	13589
30096	13616
30883	13635
31630	13639
32423	13650
33139	13643
33716	13603
34460	13583
35319	13584
36138	13578
37002	13547
37720	13554
38349	13567
38855	13535
39330	13509
39807	13503
40351	13533
41051	13475
41541	13490
42003	13489
42580	13482
43062	13481
43499	13465
43894	13465
44212	13452
44516	13405
44747	13386
44776	13384
44791	13381
44941	13394
45272	13332
45641	13298
45974	13273
46141	13295
46339	13327
46606	13305
46928	13272
47198	13278
47385	13229
47597	13215
47914	13280
48227	13243
48611	13246
48981	13217
49375	13255
49730	13233
50200	13225
50704	13246
51079	13258
51382	13226
51632	13195
51802	13122
51997	13120
52532	13155
53198	13144
53676	13154
53927	13107
54287	13161
54720	13155
55210	13144
55724	13163
56161	13161
56645	13128
57130	13208
57625	13204
58215	13183
59345	13161
60561	13123
61451	13103
61767	13165
62031	13118
62769	13063
63602	13090
64293	12990
64685	12997
64989	13047
65421	13015
65774	13000
66017	12968
66319	13016
66792	13026
67502	12985
68191	12969
68693	12968
69139	12952
69649	12961
70226	12957
70713	12933
71222	12945
71594	12977
71895	13065
72129	13055
72400	13056
72703	13057
73017	13120
73303	13115
73568	13187
73842	14537
74104	13898
74407	13364
74734	13124
74991	13033
75276	13006
75659	12937
76115	12927
76539	12979
76958	12984
77377	13005
77769	13002
78267	13027
78848	13060
79281	13023
79789	13024
80397	13024
80948	13002
81551	13040
82365	13024
83200	13001
83815	12997
84443	13017
85161	13017
85750	13050
86212	13031
86757	13030
87291	13045
87781	13010
88024	13041
88027	13042
88026	13042
88024	13067
88023	13049
88023	13077
88021	13151
88021	13118
88020	13146
88020	13129
88020	13133
88020	13122
88018	13150
88018	13151
88018	13142
88018	13190
88016	13167
88016	13166
88016	13173
88016	13181
88016	13163
88015	13125
88015	13150
88015	13133
88015	13173
88015	13186
88015	13166
88013	13159
88013	13192
88013	13138
88013	13156
88013	13113
88013	13113
88013	13123
88013	13167
88013	13184
88013	13179
88013	13129
88013	13181
88013	13138
88012	13144
88012	13129
88012	13180
88012	13141
88012	13190
88012	13177
88012	13230
88012	13221
88012	13243
88012	13306
88012	13250
88012	13298
88012	13241
88012	13268
88012	13200
88012	13227
88012	13241
88012	13253
88012	13257
88012	13244
88012	13270
88012	13227
88012	13238
88012	13274
88010	13259
88010	13220
88010	13241
88010	13223
88010	13224
88010	13198
88010	13211
88010	13197
88010	13180
88010	13202
88010	13198
88010	13132
88010	13173
88010	13170
88010	13152
88010	13190
88010	13011
88010	12909
88010	12929
88010	12891
88010	12931
88010	12893
88010	12892
88010	12892
88010	12883
88010	12934
88010	12890
88010	12854
88010	12844
88010	12858
88009	12823
88009	12851
88009	12834
88009	12865
88009	12855
88009	12858
88009	12851
88009	12837
88009	12820
88009	12854
88009	12865
88009	12887
88009	12895
88009	12900
88009	12799
88009	12831
88009	12900
88009	12851
88009	12869
88009	12913
88009	12850
88007	12885
88007	12933
88007	12898
88007	12887
88007	12939
88007	12929
88007	12966
88007	12954
88007	12944
88007	13003
88007	12958
88007	12999
88007	12993
88007	12983
88007	12998
88007	12945
88007	12973
88007	12936
88007	12903
88007	12933
88007	12901
88007	12899
88007	12882
88007	12935
88007	12882
88007	12893
88007	12943
88007	12982
88007	12936
88007	12957
88007	12946
88007	12984
88007	12961
88007	12985
88007	12956
88007	12994
88007	13011
88007	12988
88007	13053
88007	13024
88007	13014
88007	13018
88007	13033
88007	13040
88007	13060
88007	13036
88007	13040
88007	12985
88007	12963
88007	12980
88007	12984
88007	12928
88007	12952
88007	12965
88007	12952
88007	12931
88007	12953
88007	13010
88007	12984
88007	13016
88007	12986
88007	13026
88007	13046
88007	13002
88007	12998
88007	13027
88007	12997
88007	12968
88007	13029
88007	12991
88007	13014
88007	13038
88007	12995
88007	13022
88007	13026
88007	13040
88007	12986
88007	12977
88007	13024
88007	12949
88007	12957
88007	12984
88007	13007
88007	13006
88007	12981
88007	13012
88007	13007
88007	13036
88007	13076
88007	13042
88007	13061
88007	13071
88007	13053
88007	13039
88007	13018
88007	13036
88007	13056
88007	13041
88007	13019
88007	13041
88005	13053
88005	13047
88005	13057
88005	13027
88005	13070
88005	13060
88005	13051
88005	13051
88005	13027
88005	13037
88005	13075
88005	13081
88005	13020
88005	13092
88005	13081
88005	13073
88005	13043
88005	13040
88005	13011
88005	13092
88005	13094
88005	13076
88005	13081
88005	13109
88005	13109
88005	13099
88005	13136
88005	13059
88005	13100
88005	13118
88005	13116
88005	13113
88005	13052
88005	13045
88005	13006
88005	13012
88005	13000
88005	12983
88005	12961
88005	12989
88005	13000
88005	13041
88005	13013
88005	13023
88005	13013
88005	12964
88005	12976
88005	12932
88005	12944
88005	12915
88005	12910
88005	12902
88005	12943
88005	12967
88005	12973
88005	13013
88005	12961
88005	12999
88005	12939
88005	12991
88005	13018
88005	12991
88005	13013
88005	12998
88005	12961
88005	13035
88005	12954
88005	12982
88005	12995
88005	13001
88005	12994
88005	12930
88005	12977
88005	12924
88005	12972
88005	12975
88005	12955
88005	12970
88005	12957
88005	12970
88005	12942
88005	12897
88005	12853
88005	12828
88005	12831
88005	12759
88004	12752
88004	12781
88004	12748
88004	12748
88004	12724
88004	12699
88004	12735
88004	12711
88004	12684
88004	12670
88004	12678
88004	12670
88004	12627
88004	12648
88004	12610
88004	12605
88004	12672
88004	12676
88004	12660
88004	12592
88004	12554
88004	12525
88004	12495
88004	12558
88004	12473
88004	12474
88004	12430
88004	12432
88004	12436
88004	12387
88004	12376
88004	12388
88004	12388
88004	12370
88004	12368
88004	12371
88004	12281
88004	12332
88004	12300
88004	12260
88004	12315
88004	12290
88004	12337
88004	12353
88004	12348
88004	12305
88004	12305
88004	12291
88004	12305
88004	12275
88004	12265
88004	12240
88004	12229
88004	12204
88004	12234
88004	12235
88004	12214
88004	12197
88004	12166
88004	12134
88004	12142
88004	12127
88004	12120
88004	12100
88004	12110
88004	12071
