Intensidade rel. vsPosição angular, Corrida Nr8
Posição angular ( rad )	Intensidade rel. ( % )
0,000	13,954
0,000	13,974
0,000	13,997
0,000	13,917
0,000	13,926
0,000	13,969
0,000	13,930
0,000	13,910
0,000	13,896
0,000	13,873
0,002	13,872
0,002	13,850
0,002	13,858
0,002	13,817
0,002	13,825
0,002	13,840
0,002	13,837
0,002	13,789
0,002	13,754
0,002	13,775
0,002	13,811
0,002	13,714
0,002	13,769
0,002	13,716
0,013	13,757
0,017	14,044
0,020	14,049
0,036	14,056
0,226	14,046
0,680	14,000
1,211	14,054
1,634	14,026
1,974	13,996
2,168	13,944
2,465	14,030
2,683	13,983
2,944	14,000
3,252	13,982
3,550	13,966
3,974	13,942
4,478	13,921
5,017	13,903
5,482	13,907
6,005	13,912
6,520	13,856
7,061	13,869
7,527	13,891
7,991	13,862
8,432	13,833
8,880	13,881
9,393	13,873
10,008	13,852
10,529	13,907
10,944	13,847
11,354	13,873
11,734	13,879
12,219	13,901
12,692	13,857
13,218	13,902
13,686	14,011
14,081	14,194
14,395	14,505
14,689	14,812
14,974	15,092
15,317	15,353
15,703	15,469
16,063	15,291
16,464	14,911
16,991	14,469
17,665	14,139
18,251	13,848
18,755	13,743
19,208	13,724
19,676	13,695
20,153	13,702
20,664	13,695
21,157	13,719
21,745	13,753
22,343	13,730
22,814	13,721
23,234	13,739
23,719	13,730
24,230	13,768
24,649	13,739
25,013	13,669
25,381	13,654
25,764	13,695
26,198	13,634
26,631	13,675
27,109	13,650
27,621	13,637
28,106	13,603
28,972	13,589
30,096	13,616
30,883	13,635
31,630	13,639
32,423	13,650
33,139	13,643
33,716	13,603
34,460	13,583
35,319	13,584
36,138	13,578
37,002	13,547
37,720	13,554
38,349	13,567
38,855	13,535
39,330	13,509
39,807	13,503
40,351	13,533
41,051	13,475
41,541	13,490
42,003	13,489
42,580	13,482
43,062	13,481
43,499	13,465
43,894	13,465
44,212	13,452
44,516	13,405
44,747	13,386
44,776	13,384
44,791	13,381
44,941	13,394
45,272	13,332
45,641	13,298
45,974	13,273
46,141	13,295
46,339	13,327
46,606	13,305
46,928	13,272
47,198	13,278
47,385	13,229
47,597	13,215
47,914	13,280
48,227	13,243
